"Severity","Rule","Source","Destination","Application","Service","Action","Profile","Type","Detail"
"High","Allow-Specific-DB-Server","inside / 10.50.5.10/32","server / 10.60.1.10/32","mysql","application-default","allow","strict","internal_risky_application","Internal rule (inside -> server) allows a high-risk application (MySQL, App-ID 'mysql'). Lateral-movement risk even though this doesn't touch the internet directly."
"High","Allow-Negated-RFC1918-Full","dmz / [Negate]  10.0.0.0-10.255.255.255;[Negate]  172.16.0.0-172.31.255.255;[Negate]  192.168.0.0-192.168.255.255","outside / any","web-browsing","application-default","allow","strict","internet_exposed_any_field","Rule touches the internet (inbound and/or outbound: source 'dmz' / '[Negate]  10.0.0.0-10.255.255.255;[Negate]  172.16.0.0-172.31.255.255;[Negate]  192.168.0.0-192.168.255.255', destination 'outside' / 'any') with destination address left unrestricted (any). Every internet-adjacent 'any' widens what this rule can actually match."
"High","Allow-DoT-Explicit-Port","inside / 10.10.5.0/24","outside / any","any","tcp-853","allow","none","internet_exposed_any_field","Rule touches the internet (inbound and/or outbound: source 'inside' / '10.10.5.0/24', destination 'outside' / 'any') with destination address/application left unrestricted (any). Every internet-adjacent 'any' widens what this rule can actually match."
"High","Allow-Negated-Single-Range","any / [Negate]  198.51.100.0/24","any / any","anydesk","application-default","allow","none","internet_exposed_any_field","Rule touches the internet (inbound and/or outbound: source 'any' / '[Negate]  198.51.100.0/24', destination 'any' / 'any') with source zone/destination zone/destination address left unrestricted (any). Every internet-adjacent 'any' widens what this rule can actually match."
"High","Allow-Negated-Single-Range","any / [Negate]  198.51.100.0/24","any / any","anydesk","application-default","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Allow-SSH-Admin-From-Internet","outside / any","dmz / 10.40.10.10/32","ssh","application-default","allow","none","internet_exposed_any_field","Rule touches the internet (inbound and/or outbound: source 'outside' / 'any', destination 'dmz' / '10.40.10.10/32') with source address left unrestricted (any). Every internet-adjacent 'any' widens what this rule can actually match."
"High","Allow-Telnet-Legacy-Switch","outside / any","mgmt / 10.40.90.2/32","any","tcp-23","allow","none","internet_exposed_any_field","Rule touches the internet (inbound and/or outbound: source 'outside' / 'any', destination 'mgmt' / '10.40.90.2/32') with source address/application left unrestricted (any). Every internet-adjacent 'any' widens what this rule can actually match."
"High","Allow-DMZ-Subnet-Broad","outside / any","dmz / 10.45.0.0/16","any","any","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Allow-RDP-From-Internet","outside / any","dmz / 10.40.10.5/32","ms-rdp","application-default","allow","none","internet_exposed_any_field","Rule touches the internet (inbound and/or outbound: source 'outside' / 'any', destination 'dmz' / '10.40.10.5/32') with source address left unrestricted (any). Every internet-adjacent 'any' widens what this rule can actually match."
"High","Allow-Specific-DB-Server","inside / 10.50.5.10/32","server / 10.60.1.10/32","mysql","application-default","allow","strict","shadowed_rule","Fully covered by earlier rule 'Allow-Broad-Server-Subnet'. This rule can never be hit, effectively dead policy."
"High","Allow-SSH-Admin-From-Internet","outside / any","dmz / 10.40.10.10/32","ssh","application-default","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Allow-RDP-From-Internet","outside / any","dmz / 10.40.10.5/32","ms-rdp","application-default","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Allow-Port-Only-No-AppID","inside / 10.10.5.0/24","dmz / 10.40.30.5/32","any","tcp-8443","allow","strict","internal_risky_port","Internal rule (inside -> dmz) allows a high-risk port (HTTPS-Alt/Admin, port 8443). Lateral-movement risk even though this doesn't touch the internet directly."
"High","Allow-AnyDesk-Remote-Support","outside / any","inside / 10.10.5.0/24","anydesk","application-default","allow","none","internet_exposed_any_field","Rule touches the internet (inbound and/or outbound: source 'outside' / 'any', destination 'inside' / '10.10.5.0/24') with source address left unrestricted (any). Every internet-adjacent 'any' widens what this rule can actually match."
"High","Allow-Workstation-To-FileServer-SMB","inside / 10.10.9.0/24","server / any","ms-ds-smb","application-default","allow","none","internal_risky_application","Internal rule (inside -> server) allows a high-risk application (SMB, App-ID 'ms-ds-smb'). Lateral-movement risk even though this doesn't touch the internet directly."
"High","Allow-Telnet-Legacy-Switch","outside / any","mgmt / 10.40.90.2/32","any","tcp-23","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Allow-AnyDesk-Remote-Support","outside / any","inside / 10.10.5.0/24","anydesk","application-default","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Allow-DMZ-Subnet-Broad","outside / any","dmz / 10.45.0.0/16","any","any","allow","none","internet_exposed_any_field","Rule touches the internet (inbound and/or outbound: source 'outside' / 'any', destination 'dmz' / '10.45.0.0/16') with source address/application/service left unrestricted (any). Every internet-adjacent 'any' widens what this rule can actually match."
"High","Allow-FTP-Legacy-Transfer","outside / any","dmz / 10.40.60.5/32","ftp","application-default","allow","none","no_security_profile_on_exposed_rule","Rule touches the internet (inbound or outbound) but has no security profile group applied (Profile='none'). No threat prevention/antivirus/URL filtering inspection on this exposed traffic."
"High","Allow-FTP-Legacy-Transfer","outside / any","dmz / 10.40.60.5/32","ftp","application-default","allow","none","internet_exposed_any_field","Rule touches the internet (inbound and/or outbound: source 'outside' / 'any', destination 'dmz' / '10.40.60.5/32') with source address left unrestricted (any). Every internet-adjacent 'any' widens what this rule can actually match."
"Medium","Allow-Plain-DNS-Unrestricted","inside / 10.10.5.0/24","outside / any","dns","udp-53","allow","none","outbound_any_public_defined_app","Outbound to any public destination, but application is restricted to dns. Narrower than fully open, still worth confirming business need for an unrestricted destination."
"Medium","Allow-Corp-To-Salesforce","inside / 10.10.5.0/24","outside / 203.0.113.40/32","ssl","application-default","allow","strict","outbound_to_internet","Outbound rule reaching the internet (destination zone 'outside' is internet-facing) though scoped to a specific destination address ('203.0.113.40/32'), not an unrestricted destination, from source zone='inside', address='10.10.5.0/24'."
"Medium","Allow-Plain-DNS-Unrestricted","inside / 10.10.5.0/24","outside / any","dns","udp-53","allow","none","outbound_to_internet","Outbound rule reaching the internet (destination zone 'outside' is internet-facing) with an unrestricted destination address (any), reaching anywhere on the internet, from source zone='inside', address='10.10.5.0/24'."
"Medium","Allow-Duplicate-Web-Rule-B","inside / 10.10.5.0/24","outside / 203.0.113.80/32","ssl","application-default","allow","strict","duplicate_rule","Identical match criteria (zone/address/application/service) to earlier rule 'Allow-Duplicate-Web-Rule-A'. Functionally redundant."
"Medium","Allow-Negated-Single-Range","any / [Negate]  198.51.100.0/24","any / any","anydesk","application-default","allow","none","rule_usage_unused","Panorama reports this rule's status as 'unused' across the firewalls it applies to. Candidate for removal after confirming the observation window is representative."
"Medium","Allow-Negated-Single-Range","any / [Negate]  198.51.100.0/24","any / any","anydesk","application-default","allow","none","inbound_from_internet","Inbound rule reachable from the internet (source zone 'any' is internet-facing) though scoped to a specific source address ('[Negate]  198.51.100.0/24'), not an unrestricted source, reaching destination zone='any', address='any'."
"Medium","Allow-Negated-Single-Range","any / [Negate]  198.51.100.0/24","any / any","anydesk","application-default","allow","none","stale_last_hit","Last matched traffic 922 days ago (2024-02-10), past the 365-day staleness threshold, despite a non-zero hit count (4). Worth confirming this is still needed rather than a one-off grant nobody uses anymore."
"Medium","Allow-Negated-Single-Range","any / [Negate]  198.51.100.0/24","any / any","anydesk","application-default","allow","none","outbound_to_internet","Outbound rule reaching the internet (destination zone 'any' is internet-facing) with an unrestricted destination address (any), reaching anywhere on the internet, from source zone='any', address='[Negate]  198.51.100.0/24'."
"Medium","Allow-Port-Only-No-AppID","inside / 10.10.5.0/24","dmz / 10.40.30.5/32","any","tcp-8443","allow","strict","broad_internal_exposure","Internal-to-internal rule (inside -> dmz) with application left unrestricted (any). A common lateral-movement/ransomware-propagation pattern even though neither side touches the internet."
"Medium","Test for POC","server / 10.200.0.0/16","outside / 62.49.10.92/28","https,ssh","any","allow","none","outbound_to_internet","Outbound rule reaching the internet (destination zone 'outside' is internet-facing) though scoped to a specific destination address ('62.49.10.92/28'), not an unrestricted destination, from source zone='server', address='10.200.0.0/16'."
"Medium","Allow-Temp-Vendor-POC","outside / any","inside / any","any","any","allow","none","inbound_from_internet","Inbound rule reachable from the internet (source zone 'outside' is internet-facing) with an unrestricted source address (any), reachable from anywhere on the internet, reaching destination zone='inside', address='any'."
"Medium","Allow-Workstation-To-FileServer-SMB","inside / 10.10.9.0/24","server / any","ms-ds-smb","application-default","allow","none","broad_internal_exposure","Internal-to-internal rule (inside -> server) with destination address left unrestricted (any). A common lateral-movement/ransomware-propagation pattern even though neither side touches the internet."
"Medium","Allow-Broad-Internal-Lateral","inside / any","server / any","any","any","allow","none","broad_internal_exposure","Internal-to-internal rule (inside -> server) with source address/destination address/application/service left unrestricted (any). A common lateral-movement/ransomware-propagation pattern even though neither side touches the internet."
"Medium","Allow-Port-Only-No-AppID","inside / 10.10.5.0/24","dmz / 10.40.30.5/32","any","tcp-8443","allow","strict","port_based_rule_missing_app_id","Rule matches by port (tcp-8443) with Application left as 'any', instead of a named App-ID. At least one port (8443) is also on the high-risk list. Consider migrating to an explicit application for App-ID-based inspection."
"Medium","Allow-Negated-RFC1918-Full","dmz / [Negate]  10.0.0.0-10.255.255.255;[Negate]  172.16.0.0-172.31.255.255;[Negate]  192.168.0.0-192.168.255.255","outside / any","web-browsing","application-default","allow","strict","inbound_from_internet","Inbound rule reachable from the internet (source address itself includes public IP space) though scoped to a specific source address ('[Negate]  10.0.0.0-10.255.255.255;[Negate]  172.16.0.0-172.31.255.255;[Negate]  192.168.0.0-192.168.255.255'), not an unrestricted source, reaching destination zone='outside', address='any'."
"Medium","Allow-Zero-Hit-Old-Rule","inside / 10.10.9.0/24","dmz / 10.40.40.5/32","web-browsing","application-default","allow","strict","rule_usage_unused","Panorama reports this rule's status as 'unused' across the firewalls it applies to. Candidate for removal after confirming the observation window is representative."
"Medium","Allow-Stale-OneOff-Grant","inside / 10.10.9.10/32","dmz / 10.40.50.5/32","ssl","application-default","allow","strict","stale_last_hit","Last matched traffic 822 days ago (2024-05-20), past the 365-day staleness threshold, despite a non-zero hit count (25). Worth confirming this is still needed rather than a one-off grant nobody uses anymore."
"Medium","Allow-Temp-Vendor-POC","outside / any","inside / any","any","any","allow","none","temporary_tag_but_broad_rule","Rule signals temporary/POC/test intent via both the rule name and its tags ('temp-poc'), but still has an unrestricted source/destination address or application. Temporary broad-access rules that are never tightened or removed are a common real world audit finding. Verify this is still needed."
"Medium","Allow-Zero-Hit-Old-Rule","inside / 10.10.9.0/24","dmz / 10.40.40.5/32","web-browsing","application-default","allow","strict","zero_hit_count","Recorded hit count of zero. Candidate for removal after confirming the observation window is representative."
"Medium","Allow-Negated-RFC1918-Full","dmz / [Negate]  10.0.0.0-10.255.255.255;[Negate]  172.16.0.0-172.31.255.255;[Negate]  192.168.0.0-192.168.255.255","outside / any","web-browsing","application-default","allow","strict","outbound_to_internet","Outbound rule reaching the internet (destination zone 'outside' is internet-facing) with an unrestricted destination address (any), reaching anywhere on the internet, from source zone='dmz', address='[Negate]  10.0.0.0-10.255.255.255;[Negate]  172.16.0.0-172.31.255.255;[Negate]  192.168.0.0-192.168.255.255'."
"Medium","Allow-Corp-To-SWIFT-Zone","inside / any","swift / any","any","application-default","allow","none","broad_internal_exposure","Internal-to-internal rule (inside -> swift) with source address/destination address/application left unrestricted (any). A common lateral-movement/ransomware-propagation pattern even though neither side touches the internet."
"Medium","Allow-SSH-Admin-From-Internet","outside / any","dmz / 10.40.10.10/32","ssh","application-default","allow","none","inbound_from_internet","Inbound rule reachable from the internet (source zone 'outside' is internet-facing) with an unrestricted source address (any), reachable from anywhere on the internet, reaching destination zone='dmz', address='10.40.10.10/32'."
"Medium","Allow-TeamViewer-Vendor-Access","outside / any","inside / 10.10.5.0/24","teamviewer","application-default","allow","none","inbound_from_internet","Inbound rule reachable from the internet (source zone 'outside' is internet-facing) with an unrestricted source address (any), reachable from anywhere on the internet, reaching destination zone='inside', address='10.10.5.0/24'."
"Medium","Allow-Wide-Open-DMZ-Inbound","outside / any","dmz / any","any","any","allow","none","inbound_from_internet","Inbound rule reachable from the internet (source zone 'outside' is internet-facing) with an unrestricted source address (any), reachable from anywhere on the internet, reaching destination zone='dmz', address='any'."
"Medium","Allow-POS-To-CDE-Broad","pos / any","cde / any","any","any","allow","none","broad_internal_exposure","Internal-to-internal rule (pos -> cde) with source address/destination address/application/service left unrestricted (any). A common lateral-movement/ransomware-propagation pattern even though neither side touches the internet."
"Medium","Allow-Broad-Server-Subnet","inside / 10.50.0.0/16","server / any","any","any","allow","strict","broad_internal_exposure","Internal-to-internal rule (inside -> server) with destination address/application/service left unrestricted (any). A common lateral-movement/ransomware-propagation pattern even though neither side touches the internet."
"Medium","Allow-SSH-Admin-From-Internet","outside / any","dmz / 10.40.10.10/32","ssh","application-default","allow","none","stale_last_hit","Last matched traffic 656 days ago (2024-11-02), past the 365-day staleness threshold, despite a non-zero hit count (15). Worth confirming this is still needed rather than a one-off grant nobody uses anymore."
"Medium","Allow-POS-To-CDE-Broad","pos / any","cde / any","any","any","allow","none","stale_last_hit","Last matched traffic 582 days ago (2025-01-15), past the 365-day staleness threshold, despite a non-zero hit count (12). Worth confirming this is still needed rather than a one-off grant nobody uses anymore."
"Medium","Allow-Telnet-Legacy-Switch","outside / any","mgmt / 10.40.90.2/32","any","tcp-23","allow","none","inbound_from_internet","Inbound rule reachable from the internet (source zone 'outside' is internet-facing) with an unrestricted source address (any), reachable from anywhere on the internet, reaching destination zone='mgmt', address='10.40.90.2/32'."
"Medium","Allow-FTP-Legacy-Transfer","outside / any","dmz / 10.40.60.5/32","ftp","application-default","allow","none","rule_usage_unused","Panorama reports this rule's status as 'unused' across the firewalls it applies to. Candidate for removal after confirming the observation window is representative."
"Medium","Allow-Telnet-Legacy-Switch","outside / any","mgmt / 10.40.90.2/32","any","tcp-23","allow","none","stale_last_hit","Last matched traffic 1176 days ago (2023-06-01), past the 365-day staleness threshold, despite a non-zero hit count (3). Worth confirming this is still needed rather than a one-off grant nobody uses anymore."
"Medium","Allow-Telnet-Legacy-Switch","outside / any","mgmt / 10.40.90.2/32","any","tcp-23","allow","none","port_based_rule_missing_app_id","Rule matches by port (tcp-23) with Application left as 'any', instead of a named App-ID. At least one port (23) is also unencrypted/cleartext by design. Consider migrating to an explicit application for App-ID-based inspection."
"Medium","Allow-AnyDesk-Remote-Support","outside / any","inside / 10.10.5.0/24","anydesk","application-default","allow","none","inbound_from_internet","Inbound rule reachable from the internet (source zone 'outside' is internet-facing) with an unrestricted source address (any), reachable from anywhere on the internet, reaching destination zone='inside', address='10.10.5.0/24'."
"Medium","Allow-Telnet-Legacy-Switch","outside / any","mgmt / 10.40.90.2/32","any","tcp-23","allow","none","rule_usage_unused","Panorama reports this rule's status as 'unused' across the firewalls it applies to. Candidate for removal after confirming the observation window is representative."
"Medium","Allow-FTP-Legacy-Transfer","outside / any","dmz / 10.40.60.5/32","ftp","application-default","allow","none","stale_last_hit","Last matched traffic 1071 days ago (2023-09-14), past the 365-day staleness threshold, despite a non-zero hit count (8). Worth confirming this is still needed rather than a one-off grant nobody uses anymore."
"Medium","Allow-FTP-Legacy-Transfer","outside / any","dmz / 10.40.60.5/32","ftp","application-default","allow","none","inbound_from_internet","Inbound rule reachable from the internet (source zone 'outside' is internet-facing) with an unrestricted source address (any), reachable from anywhere on the internet, reaching destination zone='dmz', address='10.40.60.5/32'."
"Medium","Allow-Specific-DB-Server","inside / 10.50.5.10/32","server / 10.60.1.10/32","mysql","application-default","allow","strict","zero_hit_count","Recorded hit count of zero. Candidate for removal after confirming the observation window is representative."
"Medium","Allow-DoH-Explicit-App","inside / 10.10.5.0/24","outside / 8.8.8.8/32","dns-over-https","application-default","allow","none","reaches_known_public_dns_resolver","Destination includes 1 well-known public DNS resolver (8.8.8.8). Direct reachability to third-party resolvers can bypass internal DNS security controls (filtering, threat-intel blocklists), especially over DoH/DoT where the query itself is encrypted and invisible to inspection. Verify this is intentional and not a bypass of corporate DNS."
"Medium","Allow-DoH-Explicit-App","inside / 10.10.5.0/24","outside / 8.8.8.8/32","dns-over-https","application-default","allow","none","outbound_to_internet","Outbound rule reaching the internet (destination zone 'outside' is internet-facing) though scoped to a specific destination address ('8.8.8.8/32'), not an unrestricted destination, from source zone='inside', address='10.10.5.0/24'."
"Medium","Allow-DoT-Explicit-Port","inside / 10.10.5.0/24","outside / any","any","tcp-853","allow","none","outbound_to_internet","Outbound rule reaching the internet (destination zone 'outside' is internet-facing) with an unrestricted destination address (any), reaching anywhere on the internet, from source zone='inside', address='10.10.5.0/24'."
"Medium","Allow-DMZ-Subnet-Broad","outside / any","dmz / 10.45.0.0/16","any","any","allow","none","inbound_from_internet","Inbound rule reachable from the internet (source zone 'outside' is internet-facing) with an unrestricted source address (any), reachable from anywhere on the internet, reaching destination zone='dmz', address='10.45.0.0/16'."
"Medium","Allow-Plain-DNS-Google-Cloudflare","inside / 10.10.5.0/24","outside / 8.8.8.8;1.1.1.1","dns","udp-53","allow","none","outbound_to_internet","Outbound rule reaching the internet (destination zone 'outside' is internet-facing) though scoped to a specific destination address ('8.8.8.8;1.1.1.1'), not an unrestricted destination, from source zone='inside', address='10.10.5.0/24'."
"Medium","Allow-Plain-DNS-Unrestricted","inside / 10.10.5.0/24","outside / any","dns","udp-53","allow","none","plain_dns_to_unrestricted_destination","Rule allows plain DNS (port 53) to an unrestricted destination (any). Unencrypted queries can go to literally any server, with no way to filter or inspect where they end up. A common DNS-tunneling/data-exfiltration pattern, not just a DNS-bypass one. Consider scoping the destination to approved resolvers."
"Medium","Allow-Plain-DNS-Google-Cloudflare","inside / 10.10.5.0/24","outside / 8.8.8.8;1.1.1.1","dns","udp-53","allow","none","reaches_known_public_dns_resolver","Destination includes 2 well-known public DNS resolvers (8.8.8.8, 1.1.1.1). Direct reachability to third-party resolvers can bypass internal DNS security controls (filtering, threat-intel blocklists), especially over DoH/DoT where the query itself is encrypted and invisible to inspection. Verify this is intentional and not a bypass of corporate DNS."
"Medium","Allow-Plain-DNS-Google-Cloudflare","inside / 10.10.5.0/24","outside / 8.8.8.8;1.1.1.1","dns","udp-53","allow","none","plain_dns_to_known_resolver","Rule allows plain DNS (port 53) specifically to a well-known public resolver (8.8.8.8, 1.1.1.1). Unlike DoH/DoT to the same destination, the query content itself is visible in cleartext to anyone observing the traffic, on top of bypassing internal DNS controls."
"Medium","Allow-Duplicate-Web-Rule-A","inside / 10.10.5.0/24","outside / 203.0.113.80/32","ssl","application-default","allow","strict","outbound_to_internet","Outbound rule reaching the internet (destination zone 'outside' is internet-facing) though scoped to a specific destination address ('203.0.113.80/32'), not an unrestricted destination, from source zone='inside', address='10.10.5.0/24'."
"Medium","Allow-Duplicate-Web-Rule-B","inside / 10.10.5.0/24","outside / 203.0.113.80/32","ssl","application-default","allow","strict","zero_hit_count","Recorded hit count of zero. Candidate for removal after confirming the observation window is representative."
"Medium","Allow-RDP-From-Internet","outside / any","dmz / 10.40.10.5/32","ms-rdp","application-default","allow","none","inbound_from_internet","Inbound rule reachable from the internet (source zone 'outside' is internet-facing) with an unrestricted source address (any), reachable from anywhere on the internet, reaching destination zone='dmz', address='10.40.10.5/32'."
